"Genes_core","PGFam_core"
"PGF_00415346","23S rRNA (cytosine(1962)-C(5))-methyltransferase (EC 2.1.1.191)"
"PGF_10367439","Acylphosphate phosphohydrolase (EC 3.6.1.7)"
"PGF_00413232","tRNA 2-thiouridine synthesis protein TusE"
"PGF_00039721","Putative TEGT family carrier/transport protein"
NA,"Uptake [NiFe] hydrogenase, small subunit HyaA (EC 1.12.99.6)"
"PGF_08040528","Uptake [NiFe] hydrogenase, large subunit HyaB (EC 1.12.99.6)"
"PGF_08137788","Uptake [NiFe] hydrogenase, cytochrome b subunit HyaC"
"PGF_05389020","Uptake [NiFe] hydrogenase maturation protease HyaD"
"PGF_00012510","Uptake [NiFe] hydrogenase maturation factor HyaE"
"PGF_00012512","Uptake [NiFe] hydrogenase maturation maturation factor HyaF"
"PGF_00419964","Cytochrome d ubiquinol oxidase subunit X (EC 1.10.3.-)"
"PGF_00033366","Phosphoanhydride phosphohydrolase (EC 3.1.3.2) (pH 2.5 acid phosphatase) (AP) / 4- phytase (EC 3.1.3.26)"
"PGF_01220473","Tyrosine-protein kinase (EC 2.7.10.2)"
"PGF_01095805","Low molecular weight protein-tyrosine-phosphatase (EC 3.1.3.48) => Etp"
"PGF_00034917","Putative polysaccharide export protein YccZ precursor"
"PGF_02924583","Uncharacterized lipoprotein GfcD"
"PGF_00286856","Uncharacterized protein GfcC"
"PGF_00064782","Uncharacterized lipoprotein YmcC precursor"
"PGF_00056865","Threonine-rich inner membrane protein GfcA"
"PGF_00418616","Cold shock protein of CSP family => CspF/CspH (naming convention as in E.coli)"
"PGF_00335893","Cold shock protein of CSP family => CspB/CspG/CspI (naming convention as in E.coli)"
"PGF_01650821","Sfa protein"
"PGF_00010173","GnsA protein"
"PGF_00013076","Hypothetical iron-sulfur cluster binding protein YccM"
"PGF_03309373","Trimethylamine-N-oxide sensor histidine kinase TorS (EC 2.7.13.3)"
"PGF_00031057","Periplasmic protein TorT"
"PGF_04555958","Trimethylamine-N-oxide operon transcriptional regulatory protein TorR"
"PGF_03882172","Trimethylamine-N-oxide reductase associated c-type cytochrome, TorC"
"PGF_00061887","Trimethylamine-N-oxide reductase (EC 1.7.2.3), TorA"
"PGF_00057282","TorA-specific chaperone protein, TorD"
"PGF_00417459","Chaperone-modulator protein CbpM"
"PGF_10561718","DnaJ-class molecular chaperone CbpA"
"PGF_00065437","Uncharacterized protein YccE"
"PGF_00007968","Glucose-1-phosphatase (EC 3.1.3.10)"
"PGF_00065438","Uncharacterized protein YccJ"
"PGF_01029251","NAD(P)H dehydrogenase (quinone), Type IV (EC 1.6.5.2)"
"PGF_05980122","Uncharacterized protein YmdF"
"PGF_02972865","Pyrimidine permease RutG"
"PGF_00003778","FMN reductase (NADH) RutF (EC 1.5.1.42)"
"PGF_02904774","Probable malonic semialdehyde reductase RutE (EC 1.1.1.298)"
"PGF_00035203","Possible hydrolase or acyltransferase RutD in novel pyrimidine catabolism pathway"
"PGF_00040223","Putative aminoacrylate peracid reductase RutC @ RidA/YER057c/UK114 superfamily protein"
"PGF_00031593","Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB (EC 3.5.1.110)"
"PGF_00045920","Pyrimidine monooxygenase RutA (EC 1.14.99.46)"
"PGF_03112776","Transcriptional regulator RutR of pyrimidine catabolism (TetR family)"
"PGF_00060265","Transcriptional repressor of PutA and PutP / Proline dehydrogenase (EC 1.5.5.2) / Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.2.1.88)"
"PGF_12845875","hypothetical protein"
"PGF_07303950","Proline/sodium symporter PutP (TC 2.A.21.2.1) @ Propionate/sodium symporter"
"PGF_00004652","Ferrous iron transport permease EfeU"
"PGF_04044064","Ferrous iron transport periplasmic protein EfeO, contains peptidase-M75 domain and (frequently) cupredoxin-like domain"
"PGF_07652575","Ferrous iron transport peroxidase EfeB"
"PGF_00403729","Biofilm PGA synthesis auxiliary protein PgaD"
"PGF_00403717","Biofilm PGA synthesis N-glycosyltransferase PgaC (EC 2.4.-.-)"
"PGF_00403757","Biofilm PGA synthesis deacetylase PgaB (EC 3.-)"
"PGF_00050904","Diguanylate cyclase (EC 2.7.7.65) => DgcT"
"PGF_00065439","Uncharacterized protein YcdU"
"PGF_00039037","Glyoxylate/hydroxypyruvate reductase A (EC 1.1.1.79) (EC 1.1.1.81)"
"PGF_03864616","Putative hydrolase YcdX (EC 3.1.-.-)"
"PGF_00042848","Anaerobic respiratory reductase chaperone"
"PGF_00014133","Inner membrane protein YcdZ"
"PGF_00419814","Curli production assembly/transport component CsgG"
"PGF_00419810","Curli production assembly/transport component CsgF"
"PGF_00419809","Curli production assembly/transport component CsgE"
"PGF_00058508","Transcriptional regulator CsgD for 2nd curli operon"
"PGF_00021463","Minor curlin subunit CsgB, nucleation component of curlin monomers"
"PGF_00018589","Major curlin subunit precursor CsgA"
"PGF_00040438","Putative curli production protein CsgC"
"PGF_00065777","Uncharacterized protein YmdA"
"PGF_06724323","O-acetyl-ADP-ribose deacetylase"
"PGF_08028591","Cardiolipin synthase (EC 2.7.8.-) phosphatidylethanolamine-utilizing, bacterial type ClsC"
"PGF_00007817","Glucans biosynthesis protein C (EC 2.1.-.-)"
"PGF_00249636","hypothetical protein"
"PGF_00007822","Glucans biosynthesis protein G precursor"
"PGF_00007812","Glucans biosynthesis glucosyltransferase H"
"PGF_00042423","Putative outer membrane lipoprotein"
"PGF_00029133","Acidic protein msyB"
"PGF_02964258","Multidrug resistance protein MdtG"
"PGF_01763778","Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.241)"
"PGF_00048334","Rhodanese domain protein, Enterobacterial subgroup, YceA homolog"
"PGF_03232407","Protein yceI precursor"
"PGF_07669399","Cytochrome b561 homolog 2"
"PGF_00024222","N-methyl-L-tryptophan oxidase, SolA"
"PGF_00403787","Biofilm regulator BssS"
"PGF_10435890","DNA-damage-inducible protein I"
"PGF_00423382","Dihydroorotase (EC 3.5.2.3)"
"PGF_06623542","hypothetical protein"
"PGF_03847533","Glutaredoxin 2"
"PGF_00018302","Multidrug resistance protein MdtH"
"PGF_01670799","Ribosomal-protein-S5p-alanine acetyltransferase (EC 2.3.1.128)"
"PGF_00038573","Protein of unknown function YceH"
"PGF_03375902","Virulence factor MviM"
NA,"Proposed peptidoglycan lipid II flippase MurJ"
"PGF_09743990","Flagellar biosynthesis protein FlgN"
"PGF_06573156","Negative regulator of flagellin synthesis FlgM (anti-sigma28)"
"PGF_02203749","Flagellar basal-body P-ring formation protein FlgA"
"PGF_01555804","Flagellar basal-body rod protein FlgB"
"PGF_00005354","Flagellar basal-body rod protein FlgC"
"PGF_01602421","Flagellar basal-body rod modification protein FlgD"
"PGF_00005450","Flagellar hook protein FlgE"
"PGF_07179577","Flagellar basal-body rod protein FlgF"
"PGF_00005358","Flagellar basal-body rod protein FlgG"
"PGF_08607235","Flagellar L-ring protein FlgH"
"PGF_00005288","Flagellar P-ring protein FlgI"
"PGF_00005572","Flagellar protein FlgJ [peptidoglycan hydrolase]"
"PGF_00005454","Flagellar hook-associated protein FlgK"
"PGF_09162729","Flagellar hook-associated protein FlgL"
"PGF_10461681","Ribonuclease E (EC 3.1.26.12)"
"PGF_00065444","Uncharacterized protein YceQ"
"PGF_02996782","LSU rRNA pseudouridine(955/2504/2580) synthase (EC 5.4.99.24)"
"PGF_00018552","Maf-like protein YceF"
"PGF_02031353","FIG01269488: protein, clustered with ribosomal protein L32p"
"PGF_04792416","LSU ribosomal protein L32p @ LSU ribosomal protein L32p, zinc-independent"
"PGF_00033289","Phosphate:acyl-ACP acyltransferase PlsX (EC 2.3.1.n2)"
"PGF_00420953","3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)"
"PGF_06655223","Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)"
"PGF_08693885","3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100), FadG"
"PGF_07487229","Acyl carrier protein"
"PGF_06652053","3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)"
"PGF_09190895","Aminodeoxychorismate lyase (EC 4.1.3.38)"
"PGF_01534078","Murein endolytic transglycosylase MltG"
"PGF_06111020","Thymidylate kinase (EC 2.7.4.9)"
"PGF_06755829","DNA polymerase III delta prime subunit (EC 2.7.7.7)"
"PGF_02472178","Uncharacterized metal-dependent hydrolase YcfH"
"PGF_01596785","PTS system, glucose-specific IIC component / PTS system, glucose-specific IIB component (EC 2.7.1.199)"
"PGF_00004681","FhuE receptor precursor"
"PGF_00567182","YcfF/hinT protein: a purine nucleoside phosphoramidase"
"PGF_00067257","YcfL protein: an outer membrane lipoprotein that is part of a salvage cluster"
"PGF_00017409","Lipoprotein YcfM, part of a salvage pathway of unknown substrate"
"PGF_00056527","Thiamine kinase (EC 2.7.1.89) @ Adenosylcobinamide kinase (EC 2.7.1.156)"
"PGF_05406959","beta-N-acetylglucosaminidase (EC 3.2.1.52)"
"PGF_00067259","YcfP protein: probably an esterase that is part of a salvage cluster"
"PGF_00024531","NADH dehydrogenase (EC 1.6.99.3)"
"PGF_00010776","HTH-type transcriptional repressor ComR"
"PGF_00023331","Multiple stress resistance protein BhsA"
"PGF_00015961","L,D-transpeptidase => YcfS"
"PGF_08675943","Transcription-repair coupling factor"
"PGF_00014134","Inner membrane protein YcfT"
"PGF_08074580","Lipoprotein releasing system transmembrane protein LolC"
"PGF_10535258","Lipoprotein-releasing system ATP-binding protein LolD"
"PGF_08177814","Lipoprotein releasing system transmembrane protein LolE"
"PGF_00023715","N-acetyl-D-glucosamine kinase (EC 2.7.1.59)"
"PGF_10024837","NAD-dependent protein deacetylase of SIR2 family"
"PGF_00407057","putative factor"
"PGF_00014191","Inner membrane protein YmfA"
"PGF_10327309","Spermidine/putrescine import ABC transporter substrate-binding protein PotD (TC 3.A.1.11.1)"
"PGF_05048110","Spermidine/putrescine import ABC transporter permease protein PotC (TC 3.A.1.11.1)"
"PGF_00406817","Phage excisionase"
"PGF_09060178","Exodeoxyribonuclease VIII (EC 3.1.11.-)"
"PGF_00065792","Uncharacterized protein, YdfD family"
"PGF_00416869","Cell division inhibition protein DicB"
"PGF_00065789","Phage head, head-DNA stabilization protein D"
"PGF_01650340","Protein DicC, repressor of division inhibition gene dicB"
"PGF_00064874","Phage activator protein cII"
"PGF_00032322","Phage protein"
"PGF_00321333","hypothetical protein"
"PGF_10441060","hypothetical protein"
"PGF_07705084","hypothetical protein"
"PGF_04447170","hypothetical protein"
"PGF_06124591","Uncharacterized protein, YdfU family"
"PGF_08274576","Phage antitermination protein Q"
"PGF_10509735","Phage protein"
"PGF_04540408","Phage DNA adenine methylase (EC 2.1.1.72)"
"PGF_00078121","Phage holin; Phage membrane protein STY1040"
"PGF_01650233","Phage holin"
"PGF_01747712","Phage peptidoglycan hydrolase"
"PGF_00337467","hypothetical protein"
"PGF_07151672","hypothetical protein"
"PGF_01650785","hypothetical protein"
"PGF_05194059","Phage head, terminase subunit Nu1"
"PGF_00072235","Phage head, terminase DNA packaging protein A"
"PGF_06251490","Phage head, head-tail joining protein W"
"PGF_08770713","Phage head, portal protein B"
"PGF_05517117","Phage head, head-tail preconnector protease C / Phage head, scaffolding domain Nu3"
"PGF_05849317","Phage head, head-DNA stabilization protein D"
"PGF_05542681","Phage head, major capsid protein E"
"PGF_00304707","Phage head, DNA packaging protein FI"
"PGF_00152043","Phage head, head-tail joining protein FII"
"PGF_07780229","Phage tail, component Z"
"PGF_00032068","Phage tail, component U"
"PGF_04733992","Phage tail, major tail protein V"
"PGF_06635227","Phage tail, component G"
"PGF_04072770","Phage tail, component T"
"PGF_02380660","Phage tail tip, assembly protein M"
"PGF_00090969","Phage tail fiber assembly protein Mup50, U"
"PGF_03923006","Phage tail fiber protein GpH"
"PGF_00045646","Putative uncharacterized protein YbcY"
"PGF_00053700","Spermidine/putrescine import ABC transporter permease protein PotB (TC 3.A.1.11.1)"
"PGF_08196377","Spermidine/putrescine import ABC transporter ATP-binding protein PotA (TC 3.A.1.11.1)"
"PGF_07416013","Tripeptide aminopeptidase (EC 3.4.11.4)"
"PGF_00131429","LSU ribosomal protein L16p arginine hydroxylase"
"PGF_07297343","Sensor histidine kinase PhoQ (EC 2.7.13.3)"
"PGF_07654159","Transcriptional regulatory protein PhoP"
"PGF_01054379","Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)"
"PGF_00425812","High frequency lysogenization protein HflD"
"PGF_07304022","tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)"
"PGF_00026563","Nudix-like NDP and NTP phosphohydrolase NudJ"
"PGF_02589988","LSU rRNA pseudouridine(2457) synthase (EC 5.4.99.20)"
"PGF_00015701","Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)"
"PGF_00056923","Anti-adapter protein IraM"
"PGF_00065451","Phage protein YbcV"
"PGF_00010780","HTH-type transcriptional repressor YcgE"
"PGF_00037432","Probable two-component-system connector protein AriR"
"PGF_00419927","c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeG"
"PGF_00014192","Inner membrane protein YmgF"
"PGF_00064379","UPF0757 protein YmgG"
"PGF_02950579","Septum site-determining protein MinD"
"PGF_00051120","Septum site-determining protein MinC"
"PGF_00065445","Uncharacterized protein YcgJ"
"PGF_00014069","Inhibitor of vertebrate g-type lysozyme, periplasmic => PliG"
"PGF_00003416","Uncharacterized fumarylacetoacetase-like protein YcgM"
"PGF_00064280","UPF0260 protein YcgN"
"PGF_00011467","Hemolysin E, chromosomal"
"PGF_07518314","Error-prone repair protein UmuD"
"PGF_00424726","Error-prone, lesion bypass DNA polymerase V (UmuC)"
"PGF_07549903","Periplasmic thiol:disulfide oxidoreductase DsbB, required for DsbA reoxidation"
"PGF_00025290","Na+/H+ antiporter NhaB"
"PGF_00058734","Transcriptional regulator for fatty acid degradation FadR, GntR family"
"PGF_00426231","FIG004684: SpoVR-like protein"
"PGF_07888855","D-amino acid dehydrogenase (EC 1.4.99.6)"
"PGF_08932911","Alanine racemase (EC 5.1.1.1)"
"PGF_00141955","K(+)/H(+) antiporter NhaP2"
"PGF_06721510","Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13)"
"PGF_00424258","Endo-type membrane-bound lytic murein transglycosylase A (EC 4.2.2.n2)"
"PGF_00005442","Flagellar brake protein YcgR"
"PGF_00064365","UPF0410 protein YmgE"
"PGF_00065452","Uncharacterized protein YcgY"
"PGF_00061788","Trehalase (EC 3.2.1.28) @ Periplasmic trehalase (EC 3.2.1.28)"
"PGF_00403013","Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), subunit DhaM; DHA-specific IIA component / DHA-specific phosphocarrier protein HPr / DHA-specific EI component"
"PGF_00719345","Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), ADP-binding subunit DhaL"
"PGF_01979610","Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), dihydroxyacetone binding subunit DhaK"
"PGF_00033420","Phosphoenolpyruvate-dihydroxyacetone phosphotransferase operon regulatory protein DhaR"
"PGF_00065450","Uncharacterized protein YcgV"
"PGF_00007012","GTP-binding and nucleic acid-binding protein YchF"
"PGF_04788810","Peptidyl-tRNA hydrolase (EC 3.1.1.29)"
"PGF_00041945","Putative membrane protein YchH"
"PGF_00044292","Putative sulfate permease"
"PGF_00048782","Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)"
"PGF_00423533","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)"
"PGF_01747642","Outer membrane lipoprotein component of lipoprotein transport system LolB"
"PGF_00008334","Glutamyl-tRNA reductase (EC 1.2.1.70)"
"PGF_00030640","Peptide chain release factor 1"
"PGF_05580933","Peptide chain release factor N(5)-glutamine methyltransferase (EC 2.1.1.297)"
"PGF_00425763","FIG002082: Protein SirB2"
"PGF_00425802","FIG002708: Protein SirB1"
"PGF_00039342","2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)"
"PGF_00053075","Small inner membrane protein, YmgF family"
"PGF_03161859","Calcium/proton antiporter"
"PGF_00416769","Cation transport regulator chaB"
"PGF_07066202","Cation transport protein ChaC"
"PGF_00037975","Protein YchN"
"PGF_00041764","Putative invasin"
"PGF_00025709","Nitrate/nitrite response regulator protein NarL"
"PGF_01837778","Nitrate/nitrite sensor protein NarX"
"PGF_00154479","hypothetical protein"
"PGF_06212174","Nitrate/nitrite transporter NarK"
"PGF_09372748","Respiratory nitrate reductase alpha chain (EC 1.7.99.4)"
"PGF_00047730","Respiratory nitrate reductase beta chain (EC 1.7.99.4)"
"PGF_00047732","Respiratory nitrate reductase delta chain (EC 1.7.99.4)"
"PGF_00047734","Respiratory nitrate reductase gamma chain (EC 1.7.99.4)"
"PGF_00006320","Formyltetrahydrofolate deformylase (EC 3.5.1.10)"
"PGF_02085373","UPF0225 protein YchJ"
"PGF_08091577","FIG00613342: Bacterial patatin-like phospholipase domain containing protein"
"PGF_00047187","Regulator of RpoS"
"PGF_00064393","UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)"
"PGF_03919925","DNA-binding protein H-NS"
"PGF_10401812","Thymidine kinase (EC 2.7.1.21)"
"PGF_09084129","Acetaldehyde dehydrogenase (EC 1.2.1.10) / Alcohol dehydrogenase (EC 1.1.1.1)"
"PGF_01412799","UPF0056 inner membrane protein YchE"
"PGF_02147779","Oligopeptide ABC transporter, substrate-binding protein OppA (TC 3.A.1.5.1)"
"PGF_00977978","Oligopeptide ABC transporter, permease protein OppB (TC 3.A.1.5.1)"
"PGF_10569020","Oligopeptide ABC transporter, permease protein OppC (TC 3.A.1.5.1)"
"PGF_09990804","Oligopeptide ABC transporter, ATP-binding protein OppD (TC 3.A.1.5.1)"
"PGF_07131324","Oligopeptide ABC transporter, ATP-binding protein OppF (TC 3.A.1.5.1)"
"PGF_00425811","dsDNA mimic protein, highly acidic"
"PGF_10482116","Cardiolipin synthase, bacterial type ClsA"
"PGF_00043322","Putative potassium channel protein"
"PGF_00668579","YciL protein"
"PGF_08070641","TonB-ExbBD energy transducing system, TonB subunit"
"PGF_00033486","Acyl-CoA thioesterase YciA, involved in membrane biogenesis"
"PGF_08092662","Intracellular septation protein IspA"
"PGF_00019972","Membrane protein YciC, linked to IspA"
NA,"Outer membrane protein W precursor"
"PGF_00037976","Protein YciE"
"PGF_04807308","Stress response diiron-containing protein YciF"
"PGF_00062023","Tryptophan synthase alpha chain (EC 4.2.1.20)"
"PGF_00062027","Tryptophan synthase beta chain (EC 4.2.1.20)"
"PGF_00014053","Indole-3-glycerol phosphate synthase (EC 4.1.1.48) / Phosphoribosylanthranilate isomerase (EC 5.3.1.24)"
"PGF_00056759","Anthranilate synthase, amidotransferase component (EC 4.1.3.27) / Anthranilate phosphoribosyltransferase (EC 2.4.2.18)"
"PGF_00056814","Anthranilate synthase, aminase component (EC 4.1.3.27)"
"PGF_01737397","FIG00031715: Predicted metal-dependent phosphoesterases (PHP family)"
"PGF_00054323","YciO protein, TsaC/YrdC paralog"
"PGF_00065453","Uncharacterized protein YciQ"
"PGF_00048829","LSU rRNA pseudouridine(2605) synthase (EC 5.4.99.22)"
"PGF_00418243","Cob(I)alamin adenosyltransferase (EC 2.5.1.17)"
"PGF_03871537","Putative oxidoreductase"
"PGF_03850442","Possible protease sohB (EC 3.4.21.-)"
"PGF_00037977","Protein YciN"
"PGF_10300474","DNA topoisomerase I (EC 5.99.1.2)"
"PGF_07181129","Cys regulon transcriptional activator CysB"
"PGF_00159136","hypothetical protein"
"PGF_00029269","Aconitate hydratase (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99)"
"PGF_07071261","GTP cyclohydrolase II (EC 3.5.4.25)"
"PGF_00033312","Phosphatidylglycerophosphatase B (EC 3.1.3.27)"
"PGF_00014279","Inner membrane protein yciS"
"PGF_00580333","Lipopolysaccharide assembly protein LapB"
"PGF_00777371","Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)"
"PGF_00060481","Translation initiation factor SUI1-related protein"
"PGF_00027668","Osmotically-inducible lipoprotein OsmB"
"PGF_00060184","Transcriptional regulatory protein YciT"
"PGF_00064376","UPF0509 protein YciZ"
"PGF_00419904","c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeR"
"PGF_00903690","Exoribonuclease II (EC 3.1.13.1)"
"PGF_00065454","Uncharacterized protein YciW"
"PGF_10160552","Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)"
"PGF_00065455","Uncharacterized protein YcjD"
"PGF_08049323","Peptide ABC transporter, ATP-binding protein SapF"
"PGF_00030694","Peptide ABC transporter, ATP-binding protein SapD"
"PGF_00030701","Peptide ABC transporter, permease protein SapC"
"PGF_00030698","Peptide ABC transporter, permease protein SapB"
"PGF_00030690","Peptide ABC transporter, substrate-binding protein SapA"
"PGF_00065639","Uncharacterized protein YmjA"
"PGF_00045731","Putrescine importer"
"PGF_00007176","Gamma-glutamyl-putrescine synthetase (EC 6.3.1.11)"
"PGF_02338518","Gamma-glutamyl-GABA hydrolase (EC 3.5.1.94)"
"PGF_00045746","Putrescine utilization regulator"
"PGF_00007174","Gamma-glutamyl-aminobutyraldehyde dehydrogenase (EC 1.2.1.-)"
"PGF_02945199","Gamma-glutamyl-putrescine oxidase (EC1.4.3.-)"
"PGF_12823998","Putrescine-inducible gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)"
"PGF_05080544","Psp operon transcriptional activator"
"PGF_00032662","Phage shock protein A @ Suppressor of sigma54-dependent transcription, PspA-like"
"PGF_00032664","Phage shock protein B"
"PGF_03198509","Phage shock protein C"
"PGF_00032671","Phage shock protein D"
"PGF_00925585","Thiosulfate:cyanide sulfurtransferase PspE (EC 2.8.1.1)"
"PGF_07610938","Uncharacterized glycosyltransferase YcjM"
"PGF_00011218","ABC-type sugar transport system, periplasmic binding protein YcjN"
"PGF_00014087","Inner membrane ABC transporter permease protein YcjO"
"PGF_00014090","Inner membrane ABC transporter permease protein YcjP"
"PGF_00067585","Zinc-type alcohol dehydrogenase YcjQ"
"PGF_00054850","Sugar phosphate isomerases/epimerases family protein YcjR"
"PGF_00042839","Putative oxidoreductase YcjS (EC 1.-.-.-), NADH-binding"
"PGF_00064730","Uncharacterized glycosyl hydrolase YcjT"
"PGF_06863675","Beta-phosphoglucomutase (EC 5.4.2.6)"
"PGF_09223201","Maltodextrin ABC transporter, ATP-binding protein MsmX"
"PGF_00028259","Outer membrane protein G precursor"
"PGF_00058696","Transcriptional regulator YcjW, LacI family, possibly involved in maltodextrin utilization pathway"
"PGF_02209787","Conserved protein YcjX with nucleoside triphosphate hydrolase domain"
"PGF_00019974","Membrane protein YcjF"
"PGF_00060289","Transcriptional repressor protein TyrR"
"PGF_00413533","Thiol peroxidase, Tpx-type (EC 1.11.1.15)"
"PGF_03148229","L-alanine-DL-glutamate epimerase (EC 5.1.1.n1)"
"PGF_00007154","Gamma-D-Glutamyl-meso-Diaminopimelate Amidase"
"PGF_00045660","Putative uncharacterized protein YmjC"
"PGF_03139272","Dienelactone hydrolase and related enzymes"
"PGF_00017822","Transcriptional regulator PgrR, LysR family"
"PGF_00030901","Murein peptide ABC transporter, substrate-binding protein (requires DppBCDF)"
"PGF_00019461","Mechanosensitive ion channel"
"PGF_00064749","Uncharacterized inner membrane protein YnaJ"
"PGF_00065941","Universal stress protein E"
"PGF_00006447","Fumarate and nitrate reduction regulatory protein"
"PGF_10483430","Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)"
"PGF_08978430","Aminobenzoyl-glutamate transport protein"
"PGF_03375221","Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit B"
"PGF_00047246","Regulatory protein (induces abgABT, used to catabolize p-aminobenzoyl-glutamate)"
"PGF_00037024","Diguanylate cyclase (EC 2.7.7.65) => DgcM"
"PGF_00067528","Zinc transport protein ZntB"
"PGF_00138556","hypothetical protein"
"PGF_06150781","ATP-dependent 23S rRNA helicase DbpA"
"PGF_00413306","tRNA-(cytosine32)-2-thiocytidine synthetase TtcA"
"PGF_00065943","Universal stress protein F"
"PGF_00027888","Outer membrane porin OmpN"
"PGF_00046007","Pyruvate-flavodoxin oxidoreductase"
"PGF_03062265","Uncharacterized protein YdbJ"
"PGF_00252328","Heat shock protein HslJ"
"PGF_06713057","D-lactate dehydrogenase (EC 1.1.1.28)"
"PGF_04717624","Putative uncharacterized protein ydbH"
"PGF_08286801","Uncharacterized protein YnbE"
"PGF_02806530","Putative uncharacterized protein ydbL, may be related to amine metabolism"
"PGF_00411593","regulatory protein for 2-phenylethylamine catabolism"
"PGF_00033029","Phenylacetaldehyde dehydrogenase (EC 1.2.1.39)"
"PGF_00022601","Monoamine oxidase (1.4.3.4)"
"PGF_00420115","3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase (EC 1.2.1.91) / 2-oxepin-2(3H)-ylideneacetyl-CoA hydrolase (EC 3.3.2.12)"
"PGF_03674165","1,2-phenylacetyl-CoA epoxidase, subunit A (EC 1.14.13.149)"
"PGF_03674008","1,2-phenylacetyl-CoA epoxidase, subunit B (EC 1.14.13.149)"
"PGF_07952988","1,2-phenylacetyl-CoA epoxidase, subunit C (EC 1.14.13.149)"
"PGF_03757647","1,2-phenylacetyl-CoA epoxidase, subunit D (EC 1.14.13.149)"
"PGF_00419506","1,2-phenylacetyl-CoA epoxidase, subunit E (EC 1.14.13.149)"
"PGF_00022571","2,3-dehydroadipyl-CoA hydratase (EC 4.2.1.17)"
"PGF_02966355","1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)"
"PGF_01898127","3-hydroxyadipyl-CoA dehydrogenase"
"PGF_02349818","Acyl-coenzyme A thioesterase PaaD (Pse.pu.) (E. coli PaaI)"
"PGF_01079998","3-oxoadipyl-CoA thiolase (EC 2.3.1.174) @ 3-oxo-5,6-dehydrosuberyl-CoA thiolase (EC 2.3.1.223)"
"PGF_00947361","Phenylacetate-coenzyme A ligase (EC 6.2.1.30)"
"PGF_00033043","Phenylacetic acid degradation operon negative regulatory protein PaaX"
"PGF_02205168","Phenylacetic acid degradation protein PaaY"
"PGF_00415684","COG3210: Large exoproteins involved in heme utilization or adhesion"
"PGF_07527254","Pyridoxine 4-dehydrogenase PhxI (EC 1.1.1.65)"
"PGF_00065456","Uncharacterized protein YdbD"
"PGF_03040004","CDP-alcohol phosphatidyltransferase family protein"
"PGF_02450432","Phosphatidate cytidylyltransferase (EC 2.7.7.41)"
"PGF_00041856","Putative lipase in cluster with Phosphatidate cytidylyltransferase"
"PGF_00051164","Ser/Thr and Tyr protein phosphatase (dual specificity)"
"PGF_10547233","FMN-dependent NADH-azoreductase (EC 1.7.1.6)"
"PGF_08152874","ATP-dependent helicase HrpA"
"PGF_06180612","Uncharacterized SAM-binding protein YdcF"
"PGF_08148335","Aldehyde dehydrogenase A (EC 1.2.1.22) @ Glycolaldehyde dehydrogenase (EC 1.2.1.21)"
"PGF_00024478","NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)"
"PGF_06457203","Cytochrome b561"
"PGF_00065457","Uncharacterized protein YdcA"
"PGF_01198783","Hok/Gef-like protein"
"PGF_02169879","Methyl-accepting chemotaxis protein III (ribose and galactose chemoreceptor protein)"
"PGF_00017855","LysR family transcriptional regulator YdcI"
"PGF_00065462","Uncharacterized protein YdcJ"
"PGF_00007821","Glucans biosynthesis protein D precursor"
"PGF_02746679","Uncharacterized protein YdcH"
"PGF_01715955","Ribosomal-protein-L7p-serine acetyltransferase"
